Bus,busmap
CZ10-400,CZ0 0
CZ12-400,CZ0 0
CZ13-400,CZ0 0
CZ2-400,CZ0 0
CZ4-220,CZ0 0
CZ5-400,CZ0 0
CZ6-400,CZ0 0
CZ9-400,CZ0 0
DE10-380,DE0 0
DE100-380,DE0 0
DE102-380,DE0 0
DE104-380,DE0 0
DE105-220,DE0 0
DE106-220,DE0 0
DE107-380,DE0 0
DE11-380,DE0 0
DE110-220,DE0 0
DE111-380,DE0 0
DE114-220,DE0 0
DE115-380,DE0 0
DE119-220,DE0 0
DE12-380,DE0 1
DE120-380,DE0 2
DE122-380,DE0 0
DE123-220,DE0 0
DE125-380,DE0 0
DE126-380,DE0 0
DE127-220,DE0 0
DE128-380,DE0 0
DE13-380,DE0 0
DE130-220,DE0 0
DE132-220,DE0 0
DE133-220,DE0 0
DE135-380,DE0 3
DE136-220,DE0 0
DE137-380,DE0 0
DE138-380,DE0 0
DE139-380,DE0 0
DE14-380,DE0 0
DE140-380,DE0 0
DE141-380,DE0 0
DE145-380,DE0 0
DE146-220,DE0 0
DE148-380,DE0 0
DE149-380,DE0 0
DE15-220,DE0 0
DE151-380,DE0 0
DE153-380,DE0 0
DE154-380,DE0 0
DE155-380,DE0 0
DE156-380,DE0 0
DE157-380,DE0 0
DE158-380,DE0 0
DE159-380,DE0 0
DE16-220,DE0 4
DE160-380,DE0 0
DE162-380,DE0 0
DE163-380,DE0 0
DE164-220,DE0 0
DE166-380,DE0 0
DE169-380,DE0 0
DE17-380,DE0 0
DE170-220,DE0 0
DE171-380,DE0 0
DE173-380,DE0 0
DE174-220,DE0 0
DE175-220,DE0 0
DE176-220,DE0 0
DE177-220,DE0 0
DE178-220,DE0 0
DE179-380,DE0 0
DE18-380,DE0 5
DE180-220,DE0 0
DE181-220,DE0 0
DE182-380,DE0 0
DE183-380,DE0 0
DE184-220,DE0 0
DE185-380,DE0 0
DE186-380,DE0 0
DE187-380,DE0 0
DE188-380,DE0 0
DE189-380,DE0 0
DE19-380,DE0 6
DE190-380,DE0 0
DE191-380,DE0 0
DE192-380,DE0 0
DE193-380,DE0 0
DE194-380,DE0 0
DE195-220,DE0 0
DE196-380,DE0 0
DE197-380,DE0 0
DE198-380,DE0 0
DE199-380,DE0 0
DE200-380,DE0 0
DE202-220,DE0 0
DE203-380,DE0 0
DE204-220,DE0 0
DE205-220,DE0 0
DE206-380,DE0 0
DE207-220,DE0 0
DE21-220,DE0 7
DE212-220,DE0 0
DE213-220,DE0 0
DE22-380,DE0 8
DE23-380,DE0 9
DE24-380,DE0 10
DE25-380,DE0 11
DE26-380,DE0 12
DE27-380,DE0 13
DE28-380,DE0 0
DE29-220,DE0 14
DE30-380,DE0 0
DE31-380,DE0 0
DE33-380,DE0 0
DE34-380,DE0 0
DE36-220,DE0 0
DE37-220,DE0 0
DE39-220,DE0 0
DE4-220,DE0 0
DE40-220,DE0 0
DE41-380,DE0 0
DE43-220,DE0 0
DE45-380,DE0 0
DE46-380,DE0 15
DE49-380,DE0 0
DE50-380,DE0 0
DE51-220,DE0 0
DE53-380,DE0 0
DE56-380,DE0 0
DE57-380,DE0 0
DE6-380,DE0 0
DE61-380,DE0 0
DE64-220,DE0 0
DE65-380,DE0 0
DE66-380,DE0 0
DE68-380,DE0 0
DE69-380,DE0 0
DE7-220,DE0 0
DE70-380,DE0 0
DE72-220,DE0 0
DE73-380,DE0 0
DE74-380,DE0 0
DE75-380,DE0 0
DE76-380,DE0 0
DE77-380,DE0 0
DE78-220,DE0 0
DE79-220,DE0 0
DE8-380,DE0 0
DE80-380,DE0 0
DE81-220,DE0 0
DE82-220,DE0 0
DE84-220,DE0 0
DE85-380,DE0 0
DE86-220,DE0 0
DE87-380,DE0 0
DE88-380,DE0 0
DE89-380,DE0 0
DE9-380,DE0 16
DE91-380,DE0 0
DE93-220,DE0 0
DE94-380,DE0 0
DE95-380,DE0 0
DE96-380,DE0 0
DE97-220,DE0 0
DE98-220,DE0 0
DK10-400,DK0 0
DK11-400,DK0 0
DK13-220,DK0 0
DK15-380,DK0 0
DK16-400,DK0 0
DK4-400,DK0 0
DK5-400,DK0 0
DK8-400,DK0 0
DK9-400,DK0 0
PL10-400,PL0 0
PL13-400,PL0 0
PL14-400,PL0 0
PL15-400,PL0 0
PL16-400,PL0 0
PL17-400,PL0 0
PL18-400,PL0 0
PL20-220,PL0 0
PL21-220,PL0 0
PL22-220,PL0 0
PL23-400,PL0 0
PL24-220,PL0 0
PL25-400,PL0 0
PL26-400,PL0 0
PL27-400,PL0 0
PL28-400,PL0 0
PL29-400,PL0 0
PL31-400,PL0 0
PL32-220,PL0 0
PL33-220,PL0 0
PL34-400,PL0 0
PL35-220,PL0 0
PL36-400,PL0 0
PL38-400,PL0 0
PL4-220,PL0 0
PL41-400,PL0 0
PL42-220,PL0 0
PL43-220,PL0 0
PL44-220,PL0 0
PL45-220,PL0 0
PL46-220,PL0 0
PL47-220,PL0 0
PL48-220,PL0 0
PL5-220,PL0 0
PL50-220,PL0 0
PL51-400,PL0 0
PL52-400,PL0 0
PL53-400,PL0 0
PL54-220,PL0 0
PL56-220,PL0 0
PL57-220,PL0 0
PL58-220,PL0 0
PL59-220,PL0 0
PL63-400,PL0 0
PL7-400,PL0 0
PL8-220,PL0 0
SE57-220,DK0 0
relation/17591073-220,DE0 0
relation/9399771-220,PL0 0
way/101914781-400,PL0 0
way/101915790-220,PL0 0
way/101982559-220,PL0 0
way/102165724-220,PL0 0
way/1022342082-400,PL0 0
way/1024536785-380,DE0 0
way/102743264-220,DE0 0
way/1040551074-220,DE0 0
way/106096507-380,DE0 0
way/1068350839-380,DE0 17
way/1071504343-380,DE0 0
way/1072574879-380,DE0 0
way/1076001174-380,DE0 0
way/1086825107-380,DE0 18
way/108797675-380,DE0 0
way/1089568373-380,DE0 0
way/1089769599-380,DE0 0
way/1089911133-380,DE0 0
way/1091984573-380,DE0 0
way/1093896544-380,DE0 0
way/1094015892-380,DE0 19
way/109917397-380,DE0 20
way/1102237380-380,DE0 0
way/111615226-400,PL0 0
way/112614319-400,PL0 0
way/1128250707-380,DE0 0
way/11285720-380,DE0 21
way/113546939-380,DE0 0
way/114319248-380,DE0 0
way/11500045-380,DE0 22
way/115801644-220,PL0 0
